uuid,name,description,domain,total_funding,num_funding_rounds,total_funding_currency_code,founded_on,employee_count,email,phone,address,facebook_url,linkedin_url,twitter_url,people,founder,category,category_grp_list
b531d0a8-52dd-4189-91d1-3d7432d78d71,Meridian Entertainment Group,"Meridian Entertainment Group provides with event and entertainment consultation, programming and management services in Michigan.",meridianconcerts.com,373546796.14285713,2.0,USD,1967,1-10,info@meridianconcerts.com,231-935-3900,100 Walnut Avenue Suite,https://www.facebook.com/meridianentertainmentgroup,https://www.linkedin.com/cruchbase,https://www.twitter.com/meridianconcert,Roger Hertog,Carol Yu,"Consulting,Events","Events,Media and Entertainment"
094dbc9c-ca77-ec1c-4a92-be1092ef1052,RushRate,Ranking potential members of a fraternity.,unknown,373546796.14285713,1.0,USD,1967,unknown,info@crunchbase.com,423-111-2929,100 Walnut Avenue Suite,https://www.facebook.com/cruchbase,https://www.linkedin.com/cruchbase,https://www.twitter.com/cruchbase,Shazia Saleem,Paul Okhrem,"Communities,Internet","Community and Lifestyle,Internet Services"
d103ef85-1ac5-e952-2784-1d8f321aa0b3,Bishop Canevin High School,"Bishop Canevin High School is a Catholic high school in Pittsburgh, Pennsylvania.",bishopcanevin.org,373546796.14285713,2.0,USD,1958-08-17,101-250,info@bishopcanevin.org,412.456.3000,2700 Morange Road,https://www.facebook.com/bishopcanevin,https://www.linkedin.com/company/bishop-canevin-high-school,https://twitter.com/bishopcanevin,Johan Wewel,Emma Huovinen,"E-Learning,Education,Higher Education","Education,Software"
0fbfb7ac-4015-1561-6d42-ec9c4a87a324,Paladina Health,Paladina Health is an innovative employer-sponsored healthcare provider.,paladinahealth.com,165000000.0,1.0,USD,2010-01-01,11-50,memberservices@paladinahealth.com,303-405-2100,1551 Wewatta Street,https://www.facebook.com/206019739569801,https://www.linkedin.com/company/paladina-health,https://www.twitter.com/paladinahealth,Shaw-wen Yang,Mark Santamaria,"Health Care,Hospital,Medical,Personal Health",Health Care
1ec47fa1-0727-4a87-b872-7128ec94e7cd,Spire Group,Spire Group is a full-service accounting and consulting firm.,spirecpa.com,373546796.14285713,2.0,USD,1967,unknown,info@crunchbase.com,423-111-2929,100 Walnut Avenue Suite 103,https://www.facebook.com/cruchbase,https://www.linkedin.com/company/spire-group-pc/,https://www.twitter.com/cruchbase,Nikita Legki,Jason Lobel,"Accounting,Consulting","Financial Services,Professional Services"
b612bc69-c1dd-a92e-a349-a5b767922df8,Applied BioCode,"Applied BioCode commercializes a multiplexing system used in clinical testing, life science research, medicine, and the AgBio field.",apbiocode.com,17505680.0,3.0,USD,2008-01-01,11-50,inquiry@apbiocode.com,(562)801-0050,"10020 Pioneer Blvd., Suite 102",https://www.facebook.com/cruchbase,https://www.linkedin.com/company/appliedbiocode,https://www.twitter.com/cruchbase,Nishit Kumar,Douglas Arellanes,"Biotechnology,Genetics,Health Diagnostics,Life Science","Biotechnology,Health Care,Science and Engineering"
7cd3d801-9379-c555-d145-e237a5120dbe,DimDrop,DimDrop's technology enables teams to easily create and track all mobile communications with customers.,dimdrop.com,373546796.14285713,2.0,USD,2013-07-09,1-10,facebook@dimdrop.com,+1 (888) 683-3685,410 Pierce St,https://www.facebook.com/DimDropLLC,https://www.linkedin.com/company/dimdrop,https://twitter.com/@dimdrop,Jonas Hyllseth Ryen,Jonathan Goody,"Communities,Developer Tools,Enterprise Software,Location Based Services,Mobile,SaaS","Community and Lifestyle,Data and Analytics,Internet Services,Mobile,Navigation and Mapping,Software"
a2f1dd46-1733-ad93-7197-8dcea98514a4,specdox,"Specfox is a web specification tool that allows users to upload screens, add notes, and generate PDFs to share with their developers.",specdox.com,373546796.14285713,2.0,USD,2015-01-01,1-10,info@crunchbase.com,423-111-2929,100 Walnut Avenue Suite,https://www.facebook.com/specdox,https://www.linkedin.com/cruchbase,https://www.twitter.com/specdox,Rodney Tallman,Harris Naga Putra,"Information Technology,Robotics,Software","Hardware,Information Technology,Science and Engineering,Software"
0cbe819b-a9c0-d059-b5c3-7e7a859c4ec7,Trainline Europe,Trainline (formerly Captain Train) sells train tickets.,trainline.eu,9400000.0,3.0,EUR,2009-02-08,11-50,o2o@genvayvar.rh,423-111-2929,20 rue Saint-Georges,https://www.facebook.com/trainline.eu,https://www.linkedin.com/showcase/trainline-eu/,https://twitter.com/trainline_eu,Josh Smith,Harry Travis,"Internet,Ticketing,Travel","Events,Internet Services,Media and Entertainment,Travel and Tourism"
67a4cf68-14d2-486f-a94d-66a2b93f438d,Amplify ROI,Digital Marketing Services,amplify-roi.com,373546796.14285713,2.0,USD,2014-02-01,1-10,info@amplify-roi.com,904-878-1960,4600 Touchton Rd #150,https://www.facebook.com/amplifyroi/?fb_dtsg_ag=AdzOByikAcyAfR1DbxMP4MGy_6zzvnYDi2TALQoyuau_AQ%3AAdzWq1osvHjoglzVPvAZMkN6KXmwoF5XnMxld0DPPmh6NQ,https://www.linkedin.com/company/amplify-roi/,https://twitter.com/amplifyroi,Reed Putnam,Jacqueline Zider,"Digital Marketing,SEO,Web Design","Design,Internet Services,Sales and Marketing"
